idx, row, column, demarcated, area, solidity, eccentricity, equivalent_diameter, perimeter, degree, strength, betweenness
201, 802, 3339, False, 1809.0000, 0.9407, 0.8738, 47.9926, 190.2670, 118.0000, 108.0157, 0.0000
202, 781, 12476, False, 2026.0000, 0.9481, 0.7698, 50.7896, 182.1665, 31.0000, 29.2997, 0.0000
203, 791, 7631, False, 1685.0000, 0.9640, 0.7260, 46.3186, 164.2670, 48.0000, 38.4859, 0.0000
204, 800, 3253, False, 1979.0000, 0.9524, 0.7430, 50.1970, 178.2670, 112.0000, 103.0050, 0.0000
205, 993, 8053, False, 56468.0000, 0.9333, 0.9374, 268.1367, 1131.9108, 43.0000, 14.9720, 0.0000
206, 896, 9927, False, 20579.0000, 0.9252, 0.8863, 161.8703, 644.0143, 15.0000, 10.4208, 0.0000
207, 813, 7201, False, 1882.0000, 0.9741, 0.7632, 48.9514, 175.1960, 41.0000, 33.1536, 0.0000
208, 885, 4998, False, 13152.0000, 0.9770, 0.9287, 129.4050, 513.0610, 47.0000, 34.6311, 0.0000
209, 818, 4045, False, 1552.0000, 0.9779, 0.5380, 44.4530, 148.9533, 131.0000, 118.8210, 0.0000
210, 913, 2968, False, 6660.0000, 0.9502, 0.9764, 92.0857, 452.2142, 92.0000, 80.1427, 0.0000
211, 858, 3170, False, 4581.0000, 0.6530, 0.9400, 76.3722, 422.9188, 106.0000, 94.5094, 0.0000
212, 930, 5380, False, 26900.0000, 0.9080, 0.9221, 185.0679, 776.5483, 23.0000, 17.0089, 0.0000
213, 821, 7150, False, 1307.0000, 0.9754, 0.5381, 40.7937, 135.8823, 41.0000, 32.0569, 0.0118
214, 844, 7623, False, 5126.0000, 0.9831, 0.8804, 80.7875, 294.8772, 50.0000, 41.7350, 0.0000
215, 847, 1833, False, 1758.0000, 0.8173, 0.9784, 47.3113, 244.7351, 46.0000, 42.9489, 0.0000
216, 835, 12477, False, 1867.0000, 0.9649, 0.7229, 48.7559, 168.0244, 31.0000, 29.2434, 0.0000
217, 836, 3434, False, 1354.0000, 0.9535, 0.9015, 41.5207, 155.8234, 127.0000, 116.2669, 0.0000
218, 879, 9085, False, 9793.0000, 0.9623, 0.7185, 111.6639, 404.9605, 31.0000, 23.9427, 0.0000
219, 856, 4387, False, 1073.0000, 0.9589, 0.8517, 36.9620, 138.5685, 106.0000, 93.0041, 0.0000
220, 857, 11794, False, 2069.0000, 0.9727, 0.8256, 51.3258, 186.0244, 43.0000, 37.8677, 0.0000
221, 848, 3252, False, 869.0000, 0.9656, 0.6171, 33.2633, 113.1543, 112.0000, 101.7527, 0.0000
222, 852, 4133, False, 1547.0000, 0.9773, 0.8485, 44.3813, 157.3970, 126.0000, 113.4853, 0.0000
223, 885, 7243, False, 8327.0000, 0.9643, 0.5676, 102.9673, 357.6051, 46.0000, 37.2471, 0.0000
224, 860, 4011, False, 1813.0000, 0.8271, 0.7964, 48.0456, 199.5391, 141.0000, 128.6839, 0.0000
225, 889, 7128, False, 8154.0000, 0.9607, 0.6074, 101.8921, 376.6173, 43.0000, 34.1213, 0.0000
226, 865, 4432, False, 753.0000, 0.9716, 0.8480, 30.9637, 109.4975, 97.0000, 85.1881, 0.0000
227, 860, 11874, False, 791.0000, 0.9706, 0.4599, 31.7354, 106.6690, 42.0000, 36.5498, 0.0006
228, 894, 5502, False, 4067.0000, 0.9525, 0.8080, 71.9602, 262.4924, 25.0000, 17.7623, 0.0000
229, 889, 3300, False, 2952.0000, 0.9395, 0.8998, 61.3074, 237.6224, 118.0000, 107.2466, 0.0000
230, 871, 6851, False, 2288.0000, 0.9757, 0.6636, 53.9738, 182.9533, 36.0000, 28.2829, 0.0000
231, 919, 12158, False, 7644.0000, 0.9189, 0.9083, 98.6542, 389.7473, 38.0000, 33.0090, 0.0000
232, 863, 4203, False, 621.0000, 0.9658, 0.8428, 28.1191, 99.8823, 117.0000, 103.7498, 0.0000
233, 877, 3428, False, 1336.0000, 0.9462, 0.8675, 41.2438, 150.7107, 128.0000, 117.1489, 0.0000
234, 889, 7565, False, 3171.0000, 0.9307, 0.9005, 63.5409, 240.4924, 56.0000, 46.8275, 0.0000
235, 884, 4467, False, 2247.0000, 0.9673, 0.7147, 53.4880, 184.5097, 96.0000, 84.4034, 0.0000
236, 895, 6205, False, 4363.0000, 0.9871, 0.5669, 74.5328, 249.5219, 24.0000, 18.3164, 0.0000
237, 886, 3645, False, 2635.0000, 0.9770, 0.7578, 57.9222, 200.5513, 151.0000, 138.7290, 0.0000
238, 926, 3707, False, 11914.0000, 0.9837, 0.6162, 123.1640, 421.1026, 165.0000, 129.7193, 0.0000
239, 904, 4066, False, 3061.0000, 0.9335, 0.8914, 62.4290, 252.5513, 139.0000, 125.8487, 0.0000
240, 901, 3089, False, 2394.0000, 0.9752, 0.8491, 55.2099, 198.6518, 104.0000, 94.4451, 0.0000
241, 888, 3828, False, 1793.0000, 0.9792, 0.1200, 47.7799, 158.9533, 156.0000, 144.2429, 0.0000
242, 921, 4127, False, 8678.0000, 0.9838, 0.5027, 105.1150, 358.5929, 135.0000, 112.2144, 0.0000
243, 903, 5170, False, 3595.0000, 0.9399, 0.5684, 67.6557, 242.5513, 31.0000, 23.3446, 0.0005
244, 982, 7633, False, 46864.0000, 0.7795, 0.9060, 244.2726, 1436.4205, 60.0000, 23.5905, 0.0000
245, 916, 11916, False, 4462.0000, 0.9106, 0.8273, 75.3737, 290.6934, 40.0000, 35.3564, 0.0000
246, 907, 12477, False, 1567.0000, 0.9763, 0.9051, 44.6673, 171.0538, 31.0000, 29.0409, 0.0006
247, 917, 3986, False, 3064.0000, 0.9290, 0.8226, 62.4596, 231.1371, 155.0000, 140.7107, 0.0000
248, 906, 4201, False, 2159.0000, 0.9832, 0.6621, 52.4302, 177.4386, 127.0000, 114.3281, 0.0000
249, 941, 8735, False, 7538.0000, 0.9658, 0.9524, 97.9677, 416.1737, 26.0000, 15.9034, 0.0194
250, 933, 3291, False, 2768.0000, 0.8129, 0.9587, 59.3660, 267.1198, 116.0000, 105.1260, 0.0000
251, 913, 4393, False, 1489.0000, 0.9644, 0.8836, 43.5414, 161.5980, 107.0000, 94.8619, 0.0000
252, 1014, 5920, False, 13464.0000, 0.9320, 0.9802, 130.9309, 635.0782, 23.0000, 17.0833, 0.0000
253, 899, 1871, False, 482.0000, 0.9737, 0.7324, 24.7730, 83.6985, 49.0000, 44.3047, 0.0242
254, 937, 6402, False, 4440.0000, 0.9677, 0.9329, 75.1877, 302.2325, 31.0000, 23.4435, 0.0000
255, 925, 11868, False, 2540.0000, 0.9773, 0.8237, 56.8685, 198.8944, 40.0000, 35.5896, 0.0000
256, 935, 7822, False, 3254.0000, 0.9069, 0.8784, 64.3671, 245.7229, 53.0000, 42.8170, 0.0000
257, 925, 7183, False, 1313.0000, 0.9791, 0.6290, 40.8872, 137.8823, 46.0000, 37.3037, 0.0000
258, 938, 4842, False, 1869.0000, 0.9785, 0.7870, 48.7820, 169.3381, 67.0000, 57.8258, 0.0006
259, 932, 3841, False, 1448.0000, 0.9744, 0.5043, 42.9378, 147.8823, 166.0000, 153.6447, 0.0000
260, 928, 4451, False, 884.0000, 0.9619, 0.7616, 33.5491, 116.2254, 100.0000, 87.4375, 0.0000
261, 953, 6218, False, 3556.0000, 0.9009, 0.8104, 67.2877, 250.7939, 24.0000, 18.5721, 0.0001
262, 922, 4288, False, 327.0000, 0.9534, 0.6663, 20.4046, 68.7696, 117.0000, 103.4770, 0.0081
263, 929, 3945, False, 355.0000, 0.9726, 0.8924, 21.2603, 76.5269, 161.0000, 145.5936, 0.0014
264, 987, 1769, False, 7385.0000, 0.9805, 0.7602, 96.9684, 345.6051, 46.0000, 39.9466, 0.0000
265, 995, 3788, False, 9864.0000, 0.9432, 0.6785, 112.0680, 417.1615, 174.0000, 142.4998, 0.0000
266, 947, 3468, False, 2171.0000, 0.9788, 0.8066, 52.5757, 185.6224, 136.0000, 124.5500, 0.0000
267, 968, 8953, False, 15928.0000, 0.7831, 0.9669, 142.4084, 724.1981, 32.0000, 21.0998, 0.0000
268, 946, 3239, False, 1208.0000, 0.9821, 0.6132, 39.2183, 130.4680, 109.0000, 98.0635, 0.0010
269, 1083, 5105, False, 38771.0000, 0.9489, 0.8996, 222.1818, 976.0874, 38.0000, 19.8151, 0.0006
270, 941, 4021, False, 423.0000, 0.9769, 0.7468, 23.2073, 77.1127, 148.0000, 133.2026, 0.0000
271, 975, 6899, False, 9851.0000, 0.9015, 0.8470, 111.9941, 468.3330, 40.0000, 30.4861, 0.0000
272, 950, 4282, False, 1316.0000, 0.9792, 0.6528, 40.9339, 136.5685, 121.0000, 108.6242, 0.0000
273, 956, 3415, False, 1510.0000, 0.9736, 0.7784, 43.8474, 154.0244, 129.0000, 117.8392, 0.0000
274, 1270, 7402, False, 204575.0000, 0.8241, 0.6981, 510.3655, 2595.5201, 82.0000, 1.0398, 0.0388
275, 977, 3355, False, 1682.0000, 0.9303, 0.5448, 46.2773, 165.5807, 124.0000, 112.0428, 0.0051
276, 1179, 6003, False, 23768.0000, 0.8735, 0.9896, 173.9608, 980.2153, 20.0000, 12.8864, 0.0000
277, 988, 11896, False, 2102.0000, 0.9736, 0.6672, 51.7334, 175.7817, 38.0000, 34.3332, 0.0000
278, 1014, 3272, False, 7785.0000, 0.8172, 0.8330, 99.5599, 487.9727, 109.0000, 91.1946, 0.0000
279, 966, 3834, False, 279.0000, 0.9588, 0.5811, 18.8476, 63.3553, 167.0000, 152.2517, 0.0000
280, 996, 3029, False, 2561.0000, 0.9854, 0.6656, 57.1031, 193.4802, 98.0000, 89.9485, 0.0000
281, 986, 12064, False, 2644.0000, 0.9829, 0.7889, 58.0211, 202.0660, 37.0000, 34.0017, 0.0000
282, 977, 4064, False, 380.0000, 0.9383, 0.7978, 21.9962, 77.5980, 146.0000, 131.2119, 0.0000
283, 982, 4146, False, 770.0000, 0.9613, 0.8989, 31.3113, 117.8823, 139.0000, 125.4856, 0.0000
284, 999, 4254, False, 2450.0000, 0.9291, 0.6564, 55.8519, 202.2670, 127.0000, 114.3984, 0.0000
285, 1052, 2681, False, 5970.0000, 0.9534, 0.9549, 87.1851, 377.9483, 61.0000, 53.8711, 0.0000
286, 1119, 8762, False, 103419.0000, 0.8880, 0.8982, 362.8735, 1568.6875, 21.0000, 4.2444, 0.0000
287, 1092, 3976, False, 38232.0000, 0.9255, 0.4979, 220.6320, 826.8082, 158.0000, 73.6024, 0.0316
288, 1145, 4837, False, 16336.0000, 0.7533, 0.9882, 144.2208, 839.6295, 65.0000, 46.7713, 0.0000
289, 1041, 7882, False, 8445.0000, 0.9213, 0.8444, 103.6943, 396.9777, 53.0000, 41.5951, 0.0000
290, 1001, 3447, False, 4976.0000, 0.8575, 0.9631, 79.5967, 355.0366, 139.0000, 123.5344, 0.0000
291, 995, 4295, False, 852.0000, 0.9638, 0.8320, 32.9363, 117.4975, 125.0000, 111.7099, 0.0000
